City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Acapulco,16.8634,-99.8901,31.0,51,20,3.6,MX,1619294472
Alexandria,31.2156,29.9553,19.0,63,0,2.06,EG,1619294473
Amsterdam,52.374,4.8897,7.82,61,0,5.14,NL,1619294001
Athens,37.9795,23.7162,13.69,77,75,3.09,GR,1619294464
Auckland,-36.8667,174.7667,13.91,77,75,7.72,NZ,1619294329
Baghdad,33.3406,44.4009,25.0,25,0,1.03,IQ,1619294407
Bangkok,13.75,100.5167,29.74,79,20,2.06,TH,1619294017
Barcelona,41.3888,2.159,14.91,82,20,0.51,ES,1619294292
Beijing,39.9075,116.3972,14.8,77,0,1.0,CN,1619294304
Berlin,52.5244,13.4105,8.59,49,0,2.06,DE,1619294189
Bogota,4.6097,-74.0817,21.0,49,40,5.14,CO,1619294367
Brasilia,-15.7797,-47.9297,28.43,39,40,1.03,BR,1619294474
Buenos Aires,-34.6132,-58.3772,22.17,53,40,3.6,AR,1619294349
Cairo,30.0626,31.2497,21.86,40,0,4.12,EG,1619294474
Cape Town,-33.9258,18.4232,15.82,88,0,3.09,ZA,1619294410
Christchurch,-43.5333,172.6333,7.66,100,90,1.03,NZ,1619294408
Cologne,50.9333,6.95,9.8,50,0,2.06,DE,1619294440
Damascus,33.5102,36.2913,26.0,14,20,4.12,SY,1619294475
Delhi,28.6667,77.2167,25.0,31,0,1.54,IN,1619294448
Dubai,25.2582,55.3047,28.37,45,0,2.06,AE,1619294337
Edinburgh,55.9521,-3.1965,7.34,81,0,4.12,GB,1619294434
Havana,23.133,-82.383,31.83,48,40,4.63,CU,1619294407
Helsinki,60.1695,24.9355,2.19,100,20,3.6,FI,1619294475
Honolulu,21.3069,-157.8583,25.49,50,20,6.17,US,1619294410
Istanbul,41.0351,28.9833,11.53,82,75,6.17,TR,1619294373
Jakarta,-6.2146,106.8451,26.95,78,20,1.54,ID,1619294476
Johannesburg,-26.2023,28.0436,14.58,45,0,2.48,ZA,1619294476
Kampala,0.3163,32.5822,23.0,88,20,1.59,UG,1619294367
Lagos,6.5833,3.75,28.0,89,40,4.12,NG,1619294477
Lima,-12.0432,-77.0282,21.48,73,40,3.09,PE,1619294402
Lisbon,38.7167,-9.1333,17.34,77,20,3.09,PT,1619294287
London,51.5085,-0.1257,8.8,53,50,6.69,GB,1619294392
Los Angeles,34.0522,-118.2437,17.77,55,90,3.21,US,1619294194
Madrid,40.4165,-3.7026,12.38,94,75,2.06,ES,1619294413
Manila,14.6042,120.9822,26.69,83,20,1.19,PH,1619294170
Melbourne,28.0836,-80.6081,26.76,69,75,7.72,US,1619294347
Milan,45.4643,9.1895,14.85,55,0,1.03,IT,1619294288
Moscow,55.7522,37.6156,3.64,87,90,7.0,RU,1619294478
Mumbai,19.0144,72.8479,29.0,79,40,2.57,IN,1619294376
Nairobi,-1.2833,36.8167,19.43,88,75,3.46,KE,1619294473
New York,40.7143,-74.006,20.29,26,1,4.12,US,1619294182
Oslo,59.9127,10.7461,3.75,31,73,0.89,NO,1619294210
Panama City,8.9936,-79.5197,31.26,66,40,3.6,PA,1619294302
Papeete,-17.5333,-149.5667,28.94,65,75,4.12,PF,1619294325
Paris,48.8534,2.3488,14.54,44,0,6.17,FR,1619293990
Perth,-31.9333,115.8333,11.26,93,0,2.57,AU,1619294394
Prague,50.088,14.4208,7.41,53,0,3.6,CZ,1619294460
Pyongyang,39.0339,125.7543,12.19,65,6,5.45,KP,1619294479
Reykjavik,64.1355,-21.8954,7.88,81,90,8.23,IS,1619294220
Rio De Janeiro,-22.9028,-43.2075,25.17,73,20,5.66,BR,1619294298
San Juan,-31.5375,-68.5364,23.15,26,0,4.19,AR,1619294401
Santiago,-33.4569,-70.6483,21.58,33,0,2.06,CL,1619294236
Sao Paulo,-23.5475,-46.6361,23.94,34,0,1.03,BR,1619294201
Shanghai,31.2222,121.4581,17.67,100,75,2.0,CN,1619294247
Singapore,1.2897,103.8501,25.78,89,75,1.03,SG,1619294221
Sydney,-33.8679,151.2073,11.32,66,0,2.57,AU,1619294338
Toronto,43.7001,-79.4163,16.52,39,100,3.91,CA,1619293714
Vancouver,49.2497,-123.1193,9.84,93,90,2.57,CA,1619294426
Warsaw,52.2298,21.0118,6.55,46,0,3.09,PL,1619294079
Zanzibar,-6.1639,39.1979,24.84,88,100,3.35,TZ,1619294416
